Algorithm,Mean TM
AlphaFold2,0.9505952710530146
AlphaFold3,0.9500575744893482
ESM3-Large,0.950131808274581
ESM3-Open,0.8155451797581144
ESMFold,0.9453309330666354
Ember3D,0.30378106349633155
