Algorithm,Mean RMSD
AlphaFold2,1.36470954558194
AlphaFold3,1.1863586665423764
ESM3-Large,1.276430955527755
ESM3-Open,2.4605937651744862
ESMFold,1.268167056006158
Ember3D,9.76816591275291
