Algorithm,Mean TM
AlphaFold2,0.9539688357057269
AlphaFold3,0.8784167619750216
ESM3-Large,0.9424372178999414
ESM3-Open,0.36154574646361676
ESMFold,0.7089589707530115
Ember3D,0.1592940133927652
