Algorithm,Mean TM
AlphaFold2,0.9862060557563538
AlphaFold3,0.986790853377504
ESM3-Large,0.9720582363671709
ESM3-Open,0.7944336176335252
ESMFold,0.9781826887457781
Ember3D,0.7253443753763382
