Algorithm,Mean RMSD
AlphaFold2,1.8546297287893432
AlphaFold3,3.1015092952899113
ESM3-Large,2.1529367540474937
ESM3-Open,14.276123594750658
ESMFold,5.741519602362414
Ember3D,24.09952743409958
